 Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Haiti,104.8,101.3,98.1,95.1,92.4,90,87.7,85.5,83.3,81.2,208.8,77.2,75.2,73.1,71,69
Honduras,37.4,35.8,34.2,32.7,31.3,30,28.8,27.6,26.5,25.4,24.4,23.5,22.6,21.8,21.1,20.4
Hungary,11.2,10.5,9.8,9.2,8.7,8.3,7.9,7.5,7.2,6.8,6.6,6.4,6.3,6.2,6.1,5.9
Iceland,4,3.8,3.6,3.4,3.3,3.1,2.9,2.8,2.7,2.5,2.4,2.3,2.2,2.1,2.1,2
India,91.2,87.7,84.3,81,77.7,74.6,71.5,68.5,65.6,62.7,59.9,57.2,54.5,52.1,49.8,47.7
Indonesia,52.3,49.8,47.6,45.4,49.3,41.4,39.6,37.9,36.2,34.7,33.1,31.7,30.4,29.3,28.2,27.2
Iran,34.7,32.7,30.8,29,27.3,25.7,24.2,22.8,21.4,20.2,19.2,18.3,17.5,16.8,16.1,15.5
Iraq,44.7,43.8,43,42.3,41.5,40.7,39.9,39.1,38.3,37.5,36.6,35.7,34.8,33.9,32.9,32
Ireland,7.1,6.9,6.5,6.1,5.6,5.2,4.9,4.6,4.5,4.3,4.2,4.1,4,3.8,3.7,3.6
Israel,6.9,6.6,6.4,6.1,5.8,5.6,5.3,5.1,4.9,4.7,4.6,4.4,4.3,4.2,4.1,4
Italy,5.5,5.2,5,4.7,4.5,4.4,4.3,4.2,4.1,4.1,4,3.9,3.8,3.7,3.6,3.5
Jamaica,22,21.4,20.9,20.4,20,19.7,19.5,19.2,18.9,18.5,18.1,17.6,17.2,16.7,16.2,15.7
Japan,4.5,4.3,4.1,4,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.4,3,2.9,2.8,2.7
Jordan,27.7,26.9,26.2,25.5,24.8,24.1,23.4,22.7,22.1,21.5,20.8,20.2,19.6,19,18.5,17.9
Kazakhstan,43.6,41.2,39,36.8,34.7,32.5,30.3,28.1,25.9,23.7,21.6,19.6,17.9,16.4,15.1,14.1
Kenya,107.9,104.1,99.9,95.4,90.6,85.5,80.7,76.1,70.1,65.8,62.1,58.5,55.6,53.4,51.3,49.4
Kiribati,70.6,68.5,66.9,65.7,65.1,64.8,64.8,64.8,64.5,63.9,62.9,61.7,60.4,58.9,57.4,55.9
South Korea,60,52,44.6,38.7,34.7,32.7,32.2,32.4,32.4,32.1,31.3,30.1,28.7,27.4,26.1,24.9
North Korea,6.1,6.4,6.5,6.4,6,5.6,5.2,4.8,4.5,4.3,4.1,4,3.8,3.7,3.6,3.4
Kuwait,12.7,12.5,12.3,12.1,11.9,11.7,11.6,11.5,11.3,11.1,10.8,10.3,9.9,9.4,9,8.6
Kyrgyzstan,48.7,46.4,44.4,42.5,40.8,39.3,37.9,36.3,34.4,32.3,30,27.8,25.7,24,22.6,21.3
Laos,117.7,113.4,109.2,105.1,101.1,97.2,93.5,89.8,86.2,82.8,79.7,76.7,74,71.3,69.1,66.7
Latvia,17.2,16,15.1,14.3,13.4,12.5,11.8,11.1,10.5,9.9,9.4,9,8.7,8.4,8.2,7.9
Lebanon,20,18.8,17.6,16.4,15.2,14.1,13,12.1,11.3,10.7,10.1,9.7,9.3,8.9,8.6,8.3
Lesotho,116.8,118.6,120.4,122,123,123.4,123.2,119.3,116.5,106.5,100.7,96.8,94.1,93.6,92,90.2
Liberia,181.8,169.7,157.6,145.9,134.8,124.7,115.7,107.8,100.9,94.7,89.3,84.5,80.3,76.3,72.9,69.9
Libya,28.1,27.3,26.5,25.5,24.4,23.1,21.7,20.2,18.8,17.6,16.6,17.6,15.1,14.5,13.9,13.4
Lithuania,11.8,11.3,10.9,10.5,10.2,9.9,9.5,8.8,8.1,7.4,6.7,6.1,5.6,5.3,5.2,5.2
Luxembourg,4.8,4.6,4.3,4.1,3.8,3.5,3.3,3,2.8,2.6,2.4,2.3,2.1,2,2,1.9
"Macedonia, FYR",16,15.2,14.5,14.2,14,13.7,13.2,12.5,11.8,11,9.9,8.6,7.4,6.6,6,5.5
Madagascar,109.2,103.1,97.2,91.5,85.9,80.6,75.4,70.8,66.7,63.3,60.3,57.8,55.5,53.4,51.5,49.6
Malawi,174.4,161.7,148,135.2,124.6,116.2,109.9,104.9,100,95.4,90.9,84.5,77.3,71.3,66.9,64
Malaysia,10.2,9.4,8.9,8.5,8.3,8.2,8.1,8,8,8,8,7.9,7.7,7.5,7.2,7
Maldives,44.4,39.2,34.3,29.9,28.8,22.8,20.1,17.8,16,14.4,13,11.8,10.7,9.9,9.2,8.6
Mali,219.6,211.2,201.8,191.8,181.7,171.8,162.9,155.1,148.3,142,136.6,131.7,127,122.7,118.3,114.7
Malta,7.8,7.5,7.3,7.2,7,7,6.9,6.8,6.8,6.8,6.7,6.7,6.7,6.6,6.5,6.4
Marshall Islands,41.4,41.3,41.1,40.7,40.4,40.2,39.9,39.7,39.5,39.3,39.1,38.8,38.3,37.8,37,36
Mauritania,113.5,113.1,112.9,112.4,111.4,109.8,107.9,105.5,103,100.4,97.8,95.4,92.7,90.2,87.5,84.7
Mauritius,18.6,17.1,16.1,15.6,15.6,15.7,15.9,16,15.8,15.5,15.2,14.9,14.6,14.3,13.9,13.5
Mexico,25.6,24.1,22.6,21.4,20.4,19.5,18.9,18.4,17.9,17.4,16.8,16,15.3,14.5,13.8,13.2
"Micronesia, Fed. Sts.",53.9,52.8,51.6,50.2,48.8,47.4,45.9,44.6,43.1,42,40.7,39.4,38.2,37,35.8,34.7
Moldova,31.3,28.3,25.4,23,21.1,19.7,18.7,18.1,17.7,17.4,17.2,16.9,16.7,16.4,16.1,15.8
Monaco,5.2,5,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7,3.6,3.5
Mongolia,62.7,58.4,54.3,50.4,46.8,43.4,40.3,37.4,34.8,32.3,30,28,26.2,24.7,23.5,22.4
Montenegro,13.8,13.2,12.6,11.9,11.1,10.4,9.6,8.9,8.1,7.4,6.8,6.2,5.7,5.3,5,4.7
Morocco,50,47.9,45.8,43.9,42.1,40.4,38.8,37.3,35.8,34.5,33.1,31.9,30.7,29.7,28.6,27.6
Mozambique,171.1,162.5,154.5,147.1,140.2,133.8,127.8,120.1,113.6,107.6,102.8,97.5,90.9,85.6,81.2,78.5
Myanmar,82.3,79.9,77.5,75.2,72.8,70.5,68.1,65.8,87.2,61.4,59.3,57.2,55.3,53.5,51.7,50
Namibia,75.7,76,75.8,75.2,73.9,71.7,68.4,64,60.1,56.7,53.8,51.6,49.9,47.7,46.4,45.4
Nauru,41.2,40.3,39.5,39,38.8,38.7,39,39.3,39.7,39.7,39.4,38.8,38.1,37.2,36.3,35.4
Nepal,80.6,75.9,71.5,67.4,63.5,60,56.6,53.6,50.7,48,45.4,43.1,40.9,39,37.4,35.8
Netherlands,6.2,6.1,5.9,5.7,5.6,5.4,5.2,5,4.8,4.6,4.4,4.3,4.2,4,3.9,3.8
New Zealand,7.4,7.2,7,6.9,6.7,6.6,6.5,6.4,6.4,6.3,6.2,6.1,6,5.9,5.8,5.7
Nicaragua,40.3,38.3,36.4,34.7,33.2,31.7,30.4,29.2,28.1,27.1,26.1,25.2,24.4,23.5,22.8,22.1
Niger,227.3,217.6,207,195.7,184.1,172.7,161.8,151.3,141.3,132.1,123.6,116.1,109.6,104.1,99.6,95.5
Nigeria,186.8,181.3,175.6,169.9,164.1,158.1,152.2,146.4,140.9,135.5,130.3,125.5,120.9,116.6,112.5,108.8
Norway,4.9,4.7,4.5,4.4,4.2,4,3.9,3.7,3.5,3.4,3.2,3.1,3,2.8,2.7,2.6
Oman,16.6,15.5,14.6,13.8,13.2,12.7,12.3,12.1,11.9,11.7,11.7,11.6,11.6,11.7,11.6,11.6
Pakistan,112.3,109.8,107.5,105.3,103.2,101.2,99.3,97.4,95.5,93.7,91.8,89.9,87.8,85.6,83.3,81.1
Palau,26.8,25.9,25.1,24.4,23.6,22.9,22.1,21.4,20.7,20.1,19.4,18.8,18.2,17.5,17,16.4
Panama,26,25.4,24.8,24.1,23.5,22.9,22.3,21.7,21,20.5,19.8,19.2,18.7,18.1,17.6,17
Papua New Guinea,78.5,77.7,77,76.1,75.2,74.2,72.9,71.5,69.7,67.9,66.1,64.3,62.5,60.9,59.1,57.3
Paraguay,33.5,32.5,31.5,30.4,29.4,28.4,27.5,26.6,25.7,24.9,24.1,23.3,22.6,21.9,21.2,20.5
Peru,38.6,35.8,33.3,31.1,29.1,27.4,25.9,24.5,23.2,22.1,21,20,19.1,18.3,17.5,16.9
Philippines,39.7,38.9,38.1,37.3,36.5,35.7,34.9,34.2,33.4,32.6,31.9,31.2,30.4,29.6,28.8,28
Poland,9.3,8.8,8.4,8.1,7.8,7.6,7.3,7,6.7,6.2,5.8,5.5,5.3,5.2,5.2,5.2
Portugal,7.2,6.7,6.1,5.6,5.1,4.7,4.4,4.2,4.1,4,3.9,3.8,3.8,3.8,3.7,3.6
Qatar,12.4,11.9,11.5,11.1,10.7,10.3,10,9.7,9.5,9.2,9,8.8,8.6,8.4,8.2,8
Romania,26.9,25.9,24.9,23.7,22.4,20.9,19.2,17.6,16.1,14.9,13.9,13.2,12.5,12,11.5,11.1
Russia,23.2,22,20.7,19.3,18,16.7,15.5,14.4,13.5,12.7,12,11.4,10.8,10.4,9.9,9.6
